n,average time
10.0, 159080.0
110.0, 208970.0
210.0, 335430.0
310.0, 411250.0
410.0, 517720.0
510.0, 633300.0
610.0, 889820.0
710.0, 983290.0
810.0, 1147690.0
910.0, 1181130.0
1010.0, 1288840.0
1110.0, 1353940.0
1210.0, 1497110.0
1310.0, 1610290.0
1410.0, 2039130.0
1510.0, 1936180.0
1610.0, 2090740.0
1710.0, 2252580.0
1810.0, 2394590.0
1910.0, 2479770.0
2010.0, 2545060.0
2110.0, 2753610.0
2210.0, 4112630.0
2310.0, 3204970.0
2410.0, 3244880.0
2510.0, 3278610.0
2610.0, 3439700.0
2710.0, 3769230.0
2810.0, 3811870.0
2910.0, 5820360.0
3010.0, 4102770.0
3110.0, 4185170.0
3210.0, 4328260.0
3310.0, 4404430.0
3410.0, 4497740.0
3510.0, 4568260.0
3610.0, 4856130.0
3710.0, 4942660.0
3810.0, 5046580.0
3910.0, 5465920.0
4010.0, 5427440.0
4110.0, 5569850.0
4210.0, 5526930.0
4310.0, 5811050.0
4410.0, 6316850.0
4510.0, 6172880.0
4610.0, 5796540.0
4710.0, 6636600.0
4810.0, 6386940.0
4910.0, 6660260.0
5010.0, 6749980.0
5110.0, 6801340.0
5210.0, 6881500.0
5310.0, 7043920.0
5410.0, 7538110.0
5510.0, 7479310.0
5610.0, 7567250.0
5710.0, 7629120.0
5810.0, 7882560.0
5910.0, 7961870.0
6010.0, 8019680.0
6110.0, 8512900.0
6210.0, 8792080.0
6310.0, 9031810.0
6410.0, 8868380.0
6510.0, 8695060.0
6610.0, 9016990.0
6710.0, 9343360.0
6810.0, 9280880.0
6910.0, 9370820.0
7010.0, 9536420.0
7110.0, 9953330.0
7210.0, 9862300.0
7310.0, 9884470.0
7410.0, 1.015004E7
7510.0, 1.02226E7
7610.0, 1.041912E7
7710.0, 1.026972E7
7810.0, 1.046898E7
7910.0, 1.055307E7
8010.0, 1.132146E7
8110.0, 1.126879E7
8210.0, 1.121692E7
8310.0, 1.173218E7
8410.0, 1.154542E7
8510.0, 1.166782E7
8610.0, 1.178124E7
8710.0, 1.211913E7
8810.0, 1.184951E7
8910.0, 1.225688E7
9010.0, 1.24331E7
9110.0, 1.250238E7
9210.0, 1.233339E7
9310.0, 1.273578E7
9410.0, 1.281256E7
9510.0, 1.289686E7
9610.0, 1.331086E7
9710.0, 1.423085E7
9810.0, 1.398728E7
9910.0, 1.439717E7
